 num     #instances         #bytes  class name (module)
 224:             2             80  [Ljava.lang.OutOfMemoryError; (java.base@17)
 225:             1             80  [Ljava.nio.ByteBuffer; (java.base@17)
 226:             1             80  [Ljava.time.temporal.ChronoUnit; (java.base@17)
 227:             2             80  [Ljava.util.stream.StreamOpFlag$Type; (java.base@17)
 228:             2             80  java.io.BufferedWriter (java.base@17)
 229:             2             80  java.io.PrintStream (java.base@17)
 230:             2             80  java.lang.ModuleLayer (java.base@17)
 231:             2             80  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@17)
 232:             2             80  java.lang.module.Configuration (java.base@17)
 233:             2             80  java.util.Collections$SingletonMap (java.base@17)
 234:             2             80  java.util.IdentityHashMap (java.base@17)
 235:             2             80  java.util.Locale$Category (java.base@17)
 236:             1             80  sun.nio.ch.NioSocketImpl (java.base@17)
 237:             1             80  sun.util.cldr.CLDRLocaleProviderAdapter (java.base@17)
 238:             1             80  sun.util.locale.provider.JRELocaleProviderAdapter (java.base@17)
 239:             3             72  [Ljava.security.ProtectionDomain; (java.base@17)
 240:             3             72  java.lang.NamedPackage (java.base@17)
 241:             3             72  java.lang.WeakPairMap (java.base@17)
 242:             3             72  java.net.Inet4Address (java.base@17)
 243:             3             72  java.net.Proxy$Type (java.base@17)
 244:             3             72  java.net.StandardProtocolFamily (java.base@17)
 245:             3             72  java.security.Permissions (java.base@17)
 246:             3             72  java.time.Instant (java.base@17)
 247:             3             72  java.time.format.ResolverStyle (java.base@17)
 248:             3             72  java.util.concurrent.atomic.AtomicLong (java.base@17)
 249:             1             72  java.util.regex.Matcher (java.base@17)
 250:             3             72  java.util.stream.Collector$Characteristics (java.base@17)
 251:             3             72  sun.security.util.LazyCodeSourcePermissionCollection (java.base@17)
 252:             1             64  [Ljava.lang.invoke.MethodHandleImpl$Intrinsic; (java.base@17)
 253:             2             64  [Ljava.nio.charset.CoderResult; (java.base@17)
 254:             2             64  [Ljava.util.stream.Collector$Characteristics; (java.base@17)
 255:             2             64  java.io.BufferedOutputStream (java.base@17)
 256:             2             64  java.io.FileOutputStream (java.base@17)
 257:             2             64  java.io.RandomAccessFile (java.base@17)
 258:             2             64  java.lang.ClassValue$Entry (java.base@17)
 259:             2             64  java.lang.Package (java.base@17)
 260:             2             64  java.lang.invoke.VarForm (java.base@17)
 261:             2             64  java.lang.ref.ReferenceQueue$Null (java.base@17)
 262:             2             64  java.net.Inet6Address$Inet6AddressHolder (java.base@17)
 263:             1             64  java.net.SocksSocketImpl (java.base@17)
 264:             2             64  java.time.temporal.IsoFields$Unit (java.base@17)
 265:             2             64  java.util.HexFormat (java.base@17)
 266:             2             64  java.util.LinkedList (java.base@17)
 267:             4             64  java.util.concurrent.ConcurrentHashMap$ValuesView (java.base@17)
 268:             4             64  java.util.concurrent.atomic.AtomicInteger (java.base@17)
 269:             2             64  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@17)
 270:             2             64  java.util.regex.Pattern$Branch (java.base@17)
 271:             1             64  java.util.zip.Inflater (java.base@17)
 272:             2             64  java.util.zip.ZipFile$CleanableResource (java.base@17)
 273:             4             64  jdk.internal.module.ServicesCatalog (java.base@17)
 274:             2             64  sun.nio.fs.NativeBuffer (java.base@17)
 275:             1             56  [Ljava.nio.file.StandardOpenOption; (java.base@17)
 276:             1             56  [[I (java.base@17)
 277:             1             56  java.lang.invoke.BoundMethodHandle$Specializer (java.base@17)
 278:             1             56  java.lang.invoke.BoundMethodHandle$Species_LLLLLLL (java.base@17)
 279:             1             56  jdk.internal.org.objectweb.asm.Label (java.base@17)
 280:             1             48  [Ljava.math.RoundingMode; (java.base@17)
 281:             1             48  [Ljava.util.concurrent.TimeUnit; (java.base@17)
 282:             2             48  [Ljava.util.regex.Pattern$Node; (java.base@17)
 283:             1             48  java.io.BufferedReader (java.base@17)
 284:             2             48  java.io.File$PathStatus (java.base@17)
 285:             2             48  java.io.InputStreamReader (java.base@17)
 286:             2             48  java.io.OutputStreamWriter (java.base@17)
 287:             1             48  java.lang.NullPointerException (java.base@17)
 288:             2             48  java.lang.RuntimePermission (java.base@17)
 289:             3             48  java.lang.ThreadLocal (java.base@17)
 290:             2             48  java.lang.ThreadLocal$ThreadLocalMap (java.base@17)
 291:             1             48  java.lang.invoke.BoundMethodHandle$Specializer$Factory (java.base@17)
 292:             2             48  java.lang.invoke.MethodHandles$Lookup$ClassOption (java.base@17)
 293:             2             48  java.net.Inet6Address (java.base@17)
 294:             3             48  java.nio.charset.CodingErrorAction (java.base@17)
 295:             2             48  java.security.BasicPermissionCollection (java.base@17)
 296:             3             48  java.security.SecureClassLoader$CodeSourceKey (java.base@17)
 297:             2             48  java.time.format.DateTimeFormatterBuilder$1 (java.base@17)
 298:             2             48  java.time.format.DateTimeFormatterBuilder$ZoneIdPrinterParser (java.base@17)
 299:             2             48  java.time.format.DateTimeTextProvider$LocaleStore (java.base@17)
 300:             3             48  java.util.HashMap$EntrySet (java.base@17)
 301:             3             48  java.util.LinkedHashMap$LinkedKeySet (java.base@17)
 302:             3             48  java.util.Optional (java.base@17)
 303:             3             48  java.util.ResourceBundle$NoFallbackControl (java.base@17)
 304:             3             48  java.util.WeakHashMap$KeySet (java.base@17)
 305:             1             48  java.util.concurrent.ConcurrentSkipListMap (java.base@17)
 306:             2             48  java.util.regex.Pattern$BmpCharPredicate$$Lambda$22/0x80000002b (java.base@17)
 307:             2             48  java.util.regex.Pattern$Start (java.base@17)
 308:             2             48  java.util.regex.Pattern$StartS (java.base@17)
 309:             2             48  java.util.zip.ZipFile$Source$Key (java.base@17)
 310:             1             48  jdk.internal.jimage.ImageHeader (java.base@17)
 311:             2             48  jdk.internal.misc.Signal (java.base@17)
 312:             2             48  jdk.internal.misc.Signal$NativeHandler (java.base@17)
 313:             3             48  jdk.internal.reflect.DelegatingMethodAccessorImpl (java.base@17)
 314:             2             48  sun.nio.fs.NativeBuffer$Deallocator (java.base@17)
 315:             1             48  sun.util.resources.TimeZoneNames (java.base@17)
 316:             1             48  sun.util.resources.TimeZoneNames_en (java.base@17)
 317:             1             48  sun.util.resources.cldr.TimeZoneNames (java.base@17)
 318:             1             48  sun.util.resources.cldr.TimeZoneNames_en (java.base@17)
 319:             1             40  [Ljava.lang.invoke.VarHandle$AccessType; (java.base@17)
 320:             1             40  [Ljava.time.format.SignStyle; (java.base@17)
