 num     #instances         #bytes  class name (module)
 214:             3             72  sun.security.util.LazyCodeSourcePermissionCollection (java.base@17)
 215:             1             64  [Ljava.lang.invoke.MethodHandleImpl$Intrinsic; (java.base@17)
 216:             2             64  [Ljava.nio.charset.CoderResult; (java.base@17)
 217:             2             64  [Ljava.util.stream.Collector$Characteristics; (java.base@17)
 218:             2             64  java.io.BufferedOutputStream (java.base@17)
 219:             2             64  java.io.FileOutputStream (java.base@17)
 220:             2             64  java.io.RandomAccessFile (java.base@17)
 221:             2             64  java.lang.ClassValue$Entry (java.base@17)
 222:             2             64  java.lang.Package (java.base@17)
 223:             2             64  java.lang.invoke.VarForm (java.base@17)
 224:             2             64  java.lang.ref.ReferenceQueue$Null (java.base@17)
 225:             2             64  java.net.Inet6Address$Inet6AddressHolder (java.base@17)
 226:             1             64  java.net.SocksSocketImpl (java.base@17)
 227:             2             64  java.util.HexFormat (java.base@17)
 228:             2             64  java.util.LinkedList (java.base@17)
 229:             4             64  java.util.concurrent.atomic.AtomicInteger (java.base@17)
 230:             2             64  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@17)
 231:             2             64  java.util.regex.Pattern$Branch (java.base@17)
 232:             1             64  java.util.zip.Inflater (java.base@17)
 233:             2             64  java.util.zip.ZipFile$CleanableResource (java.base@17)
 234:             2             64  sun.nio.fs.NativeBuffer (java.base@17)
 235:             1             56  [Ljava.nio.file.StandardOpenOption; (java.base@17)
 236:             1             56  [[I (java.base@17)
 237:             1             56  java.lang.invoke.BoundMethodHandle$Specializer (java.base@17)
 238:             1             56  java.lang.invoke.BoundMethodHandle$Species_LLLLLLL (java.base@17)
 239:             1             56  jdk.internal.org.objectweb.asm.Label (java.base@17)
 240:             1             48  [Ljava.math.RoundingMode; (java.base@17)
 241:             1             48  [Ljava.util.concurrent.TimeUnit; (java.base@17)
 242:             2             48  [Ljava.util.regex.Pattern$Node; (java.base@17)
 243:             1             48  java.io.BufferedReader (java.base@17)
 244:             2             48  java.io.File$PathStatus (java.base@17)
 245:             2             48  java.io.InputStreamReader (java.base@17)
 246:             2             48  java.io.OutputStreamWriter (java.base@17)
 247:             1             48  java.lang.NullPointerException (java.base@17)
 248:             2             48  java.lang.RuntimePermission (java.base@17)
 249:             3             48  java.lang.ThreadLocal (java.base@17)
 250:             2             48  java.lang.ThreadLocal$ThreadLocalMap (java.base@17)
 251:             1             48  java.lang.invoke.BoundMethodHandle$Specializer$Factory (java.base@17)
 252:             2             48  java.lang.invoke.MethodHandles$Lookup$ClassOption (java.base@17)
 253:             2             48  java.net.Inet6Address (java.base@17)
 254:             3             48  java.nio.charset.CodingErrorAction (java.base@17)
 255:             2             48  java.security.BasicPermissionCollection (java.base@17)
 256:             3             48  java.security.SecureClassLoader$CodeSourceKey (java.base@17)
 257:             3             48  java.util.HashMap$EntrySet (java.base@17)
 258:             3             48  java.util.LinkedHashMap$LinkedKeySet (java.base@17)
 259:             3             48  java.util.Optional (java.base@17)
 260:             3             48  java.util.ResourceBundle$NoFallbackControl (java.base@17)
 261:             3             48  java.util.WeakHashMap$KeySet (java.base@17)
 262:             1             48  java.util.concurrent.ConcurrentSkipListMap (java.base@17)
 263:             2             48  java.util.regex.Pattern$BmpCharPredicate$$Lambda$22/0x80000002b (java.base@17)
 264:             2             48  java.util.regex.Pattern$Start (java.base@17)
 265:             2             48  java.util.regex.Pattern$StartS (java.base@17)
 266:             2             48  java.util.zip.ZipFile$Source$Key (java.base@17)
 267:             1             48  jdk.internal.jimage.ImageHeader (java.base@17)
 268:             2             48  jdk.internal.misc.Signal (java.base@17)
 269:             2             48  jdk.internal.misc.Signal$NativeHandler (java.base@17)
 270:             3             48  jdk.internal.module.ServicesCatalog (java.base@17)
 271:             3             48  jdk.internal.reflect.DelegatingMethodAccessorImpl (java.base@17)
 272:             2             48  sun.nio.fs.NativeBuffer$Deallocator (java.base@17)
 273:             1             48  sun.util.resources.TimeZoneNames (java.base@17)
 274:             1             48  sun.util.resources.TimeZoneNames_en (java.base@17)
 275:             1             48  sun.util.resources.cldr.TimeZoneNames (java.base@17)
 276:             1             48  sun.util.resources.cldr.TimeZoneNames_en (java.base@17)
 277:             1             40  [Ljava.lang.invoke.VarHandle$AccessType; (java.base@17)
 278:             1             40  [Ljava.util.stream.StreamOpFlag; (java.base@17)
 279:             1             40  [Lsun.nio.fs.WindowsPathType; (java.base@17)
 280:             1             40  [Lsun.util.locale.provider.LocaleProviderAdapter$Type; (java.base@17)
 281:             1             40  [[Ljava.lang.invoke.LambdaForm$Name; (java.base@17)
 282:             1             40  java.io.BufferedInputStream (java.base@17)
 283:             1             40  java.lang.ArithmeticException (java.base@17)
 284:             1             40  java.lang.Package$VersionInfo (java.base@17)
 285:             1             40  java.lang.VirtualMachineError (java.base@17)
 286:             1             40  java.lang.invoke.BoundMethodHandle$Species_LJ (java.base@17)
 287:             1             40  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@17)
 288:             1             40  java.lang.invoke.VarHandle$AccessDescriptor (java.base@17)
 289:             1             40  java.net.Socket (java.base@17)
 290:             1             40  java.util.ResourceBundle$2 (java.base@17)
 291:             1             40  jdk.internal.loader.URLClassPath (java.base@17)
 292:             1             40  jdk.internal.ref.Cleaner (java.base@17)
 293:             1             40  jdk.internal.ref.CleanerImpl$CleanerCleanable (java.base@17)
 294:             1             40  sun.nio.cs.StandardCharsets$Aliases (java.base@17)
 295:             1             40  sun.nio.cs.StandardCharsets$Cache (java.base@17)
 296:             1             40  sun.nio.cs.StandardCharsets$Classes (java.base@17)
 297:             1             40  sun.nio.cs.US_ASCII$Decoder (java.base@17)
 298:             1             40  sun.nio.cs.UTF_8$Decoder (java.base@17)
 299:             1             40  sun.text.resources.cldr.FormatData (java.base@17)
 300:             1             40  sun.text.resources.cldr.ext.FormatData_ru (jdk.localedata@17)
 301:             1             40  sun.util.locale.InternalLocaleBuilder (java.base@17)
 302:             1             40  sun.util.resources.Bundles$1 (java.base@17)
 303:             2             32  [Ljava.lang.StackTraceElement; (java.base@17)
 304:             1             32  [Ljava.lang.ThreadGroup; (java.base@17)
 305:             2             32  [Ljava.lang.annotation.Annotation; (java.base@17)
 306:             1             32  [Ljava.lang.module.ModuleDescriptor$Modifier; (java.base@17)
 307:             1             32  [Ljava.lang.module.ModuleDescriptor$Requires$Modifier; (java.base@17)
 308:             1             32  [Ljava.net.Proxy$Type; (java.base@17)
 309:             1             32  [Ljava.net.StandardProtocolFamily; (java.base@17)
 310:             1             32  [Ljava.util.regex.Pattern$Qtype; (java.base@17)
 311:             1             32  [Ljava.util.stream.StreamShape; (java.base@17)
 312:             1             32  [Ljdk.internal.module.ServicesCatalog; (java.base@17)
 313:             1             32  [Lsun.nio.fs.NativeBuffer; (java.base@17)
 314:             1             32  java.io.FileInputStream (java.base@17)
 315:             1             32  java.io.WinNTFileSystem (java.base@17)
 316:             2             32  java.lang.Boolean (java.base@17)
 317:             1             32  java.lang.Module$ArchivedData (java.base@17)
 318:             1             32  java.lang.module.ModuleDescriptor$Version (java.base@17)
 319:             2             32  java.nio.ByteOrder (java.base@17)
 320:             1             32  java.nio.DirectByteBuffer$Deallocator (java.base@17)
 321:             1             32  java.util.Collections$UnmodifiableMap (java.base@17)
 322:             2             32  java.util.IdentityHashMap$KeySet (java.base@17)
 323:             2             32  java.util.ResourceBundle$SingleFormatControl (java.base@17)
 324:             2             32  java.util.concurrent.ConcurrentHashMap$EntrySetView (java.base@17)
 325:             2             32  java.util.concurrent.locks.ReentrantLock (java.base@17)
 326:             2             32  java.util.regex.Pattern$$Lambda$19/0x800000025 (java.base@17)
 327:             2             32  java.util.regex.Pattern$BranchConn (java.base@17)
 328:             1             32  java.util.zip.ZipCoder$UTF8ZipCoder (java.base@17)
 329:             1             32  jdk.internal.loader.ArchivedClassLoaders (java.base@17)
 330:             2             32  jdk.internal.loader.ClassLoaderValue (java.base@17)
 331:             2             32  jdk.internal.module.ModuleResolution (java.base@17)
 332:             1             32  jdk.internal.org.objectweb.asm.ConstantDynamic (java.base@17)
 333:             1             32  jdk.internal.org.objectweb.asm.Handle (java.base@17)
 334:             1             32  jdk.net.ExtendedSocketOptions$1 (jdk.net@17)
 335:             1             32  sun.instrument.InstrumentationImpl (java.instrument@17)
 336:             2             32  sun.util.resources.LocaleData (java.base@17)
 337:             1             24  [Ljava.io.File$PathStatus; (java.base@17)
 338:             1             24  [Ljava.lang.ClassValue$Entry; (java.base@17)
 339:             1             24  [Ljava.lang.invoke.MethodHandles$Lookup$ClassOption; (java.base@17)
 340:             1             24  [Ljava.net.URL; (java.base@17)
 341:             1             24  [Ljava.util.Locale$Category; (java.base@17)
 342:             1             24  [Ljava.util.jar.Manifest; (java.base@17)
 343:             1             24  java.lang.ClassValue$Version (java.base@17)
 344:             1             24  java.lang.Double (java.base@17)
 345:             1             24  java.lang.StringBuilder (java.base@17)
 346:             1             24  java.lang.invoke.MethodType$ConcurrentWeakInternSet (java.base@17)
 347:             1             24  java.lang.invoke.VarHandles$1 (java.base@17)
 348:             1             24  java.lang.reflect.ReflectPermission (java.base@17)
 349:             1             24  java.net.Inet6AddressImpl (java.base@17)
 350:             1             24  java.net.Proxy (java.base@17)
 351:             1             24  java.net.Socket$SocketInputStream (java.base@17)
 352:             1             24  java.util.Collections$EmptyMap (java.base@17)
 353:             1             24  java.util.Collections$UnmodifiableRandomAccessList (java.base@17)
 354:             1             24  java.util.Locale$Cache (java.base@17)
 355:             1             24  java.util.OptionalInt (java.base@17)
 356:             1             24  java.util.ResourceBundle$Control$CandidateListCache (java.base@17)
 357:             1             24  java.util.Scanner$PatternLRUCache (java.base@17)
 358:             1             24  java.util.jar.Manifest (java.base@17)
 359:             1             24  java.util.regex.Pattern$$Lambda$21/0x80000002a (java.base@17)
 360:             1             24  java.util.regex.Pattern$BmpCharProperty (java.base@17)
 361:             1             24  java.util.regex.Pattern$CharPredicate$$Lambda$21/0x0000000800c4de68 (java.base@17)
 362:             1             24  java.util.regex.Pattern$CharProperty (java.base@17)
 363:             1             24  java.util.regex.Pattern$Dollar (java.base@17)
 364:             1             24  java.util.regex.Pattern$GroupHead (java.base@17)
 365:             1             24  java.util.regex.Pattern$GroupTail (java.base@17)
 366:             1             24  java.util.regex.Pattern$Slice (java.base@17)
 367:             1             24  java.util.zip.Inflater$InflaterZStreamRef (java.base@17)
 368:             1             24  jdk.internal.jimage.ImageReader (java.base@17)
 369:             1             24  jdk.internal.loader.URLClassPath$FileLoader (java.base@17)
 370:             1             24  jdk.internal.module.ModuleBootstrap$SafeModuleFinder (java.base@17)
 371:             1             24  jdk.internal.module.ModuleHashes (java.base@17)
